 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 19, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lead.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  80.00 keV   4.006E+01  1.174E-01    4818 A      2128 A      1984 A   
  90.00 keV   4.105E+01  1.096E-01    5392 A      2250 A      2132 A   
 100.00 keV   4.179E+01  1.028E-01    5966 A      2365 A      2274 A   
 110.00 keV   4.233E+01  9.695E-02    6541 A      2473 A      2412 A   
 120.00 keV   4.270E+01  9.181E-02    7118 A      2576 A      2545 A   
 130.00 keV   4.293E+01  8.726E-02    7698 A      2675 A      2676 A   
 140.00 keV   4.303E+01  8.321E-02    8283 A      2770 A      2804 A   
 150.00 keV   4.304E+01  7.956E-02    8872 A      2862 A      2931 A   
 160.00 keV   4.296E+01  7.626E-02    9466 A      2952 A      3055 A   
 170.00 keV   4.280E+01  7.325E-02    1.01 um     3040 A      3179 A   
 180.00 keV   4.259E+01  7.051E-02    1.07 um     3126 A      3302 A   
 200.00 keV   4.202E+01  6.567E-02    1.19 um     3296 A      3547 A   
 225.00 keV   4.114E+01  6.057E-02    1.35 um     3504 A      3852 A   
 250.00 keV   4.014E+01  5.630E-02    1.51 um     3708 A      4159 A   
 275.00 keV   3.909E+01  5.265E-02    1.68 um     3911 A      4469 A   
 300.00 keV   3.803E+01  4.950E-02    1.86 um     4114 A      4784 A   
 325.00 keV   3.698E+01  4.674E-02    2.04 um     4317 A      5104 A   
 350.00 keV   3.597E+01  4.431E-02    2.23 um     4522 A      5430 A   
 375.00 keV   3.499E+01  4.214E-02    2.42 um     4729 A      5764 A   
 400.00 keV   3.406E+01  4.020E-02    2.62 um     4938 A      6104 A   
 450.00 keV   3.233E+01  3.686E-02    3.04 um     5376 A      6806 A   
 500.00 keV   3.079E+01  3.408E-02    3.48 um     5826 A      7538 A   
 550.00 keV   2.941E+01  3.173E-02    3.94 um     6288 A      8300 A   
 600.00 keV   2.818E+01  2.971E-02    4.43 um     6763 A      9091 A   
 650.00 keV   2.707E+01  2.796E-02    4.94 um     7251 A      9910 A   
 700.00 keV   2.607E+01  2.642E-02    5.47 um     7751 A      1.08 um  
 800.00 keV   2.432E+01  2.384E-02    6.59 um     8847 A      1.25 um  
