 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 03, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Fe-Mg-Si- O.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.3200E+00 g/cm3 = 7.1295E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    022.22    044.26   
     Mg     12    022.22    019.26   
     Si     14    011.11    011.13   
      O      8    044.44    025.36   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  15.00 keV   1.211E+01  1.413E-01    1716 A       652 A       622 A   
  16.00 keV   1.249E+01  1.357E-01    1809 A       668 A       641 A   
  17.00 keV   1.286E+01  1.306E-01    1900 A       682 A       660 A   
  18.00 keV   1.321E+01  1.259E-01    1990 A       696 A       678 A   
  20.00 keV   1.386E+01  1.177E-01    2164 A       721 A       712 A   
  22.50 keV   1.460E+01  1.089E-01    2375 A       748 A       750 A   
  25.00 keV   1.526E+01  1.015E-01    2579 A       773 A       785 A   
  27.50 keV   1.585E+01  9.522E-02    2778 A       795 A       817 A   
  30.00 keV   1.637E+01  8.973E-02    2972 A       815 A       847 A   
  32.50 keV   1.685E+01  8.491E-02    3161 A       833 A       875 A   
  35.00 keV   1.727E+01  8.064E-02    3347 A       850 A       901 A   
  37.50 keV   1.765E+01  7.683E-02    3530 A       866 A       926 A   
  40.00 keV   1.799E+01  7.341E-02    3710 A       881 A       950 A   
  45.00 keV   1.858E+01  6.750E-02    4063 A       908 A       995 A   
  50.00 keV   1.904E+01  6.256E-02    4410 A       933 A      1036 A   
  55.00 keV   1.940E+01  5.837E-02    4752 A       955 A      1074 A   
  60.00 keV   1.969E+01  5.476E-02    5089 A       976 A      1111 A   
  65.00 keV   1.990E+01  5.161E-02    5424 A       995 A      1145 A   
  70.00 keV   2.005E+01  4.884E-02    5758 A      1013 A      1179 A   
  80.00 keV   2.021E+01  4.419E-02    6422 A      1049 A      1242 A   
  90.00 keV   2.023E+01  4.042E-02    7087 A      1082 A      1302 A   
 100.00 keV   2.014E+01  3.729E-02    7757 A      1113 A      1359 A   
 110.00 keV   1.996E+01  3.466E-02    8432 A      1143 A      1414 A   
 120.00 keV   1.974E+01  3.241E-02    9117 A      1171 A      1469 A   
 130.00 keV   1.947E+01  3.045E-02    9811 A      1199 A      1522 A   
 140.00 keV   1.918E+01  2.874E-02    1.05 um     1226 A      1575 A   
 150.00 keV   1.888E+01  2.723E-02    1.12 um     1253 A      1628 A   
 160.00 keV   1.856E+01  2.588E-02    1.20 um     1279 A      1681 A   
 170.00 keV   1.824E+01  2.467E-02    1.27 um     1306 A      1733 A   
 180.00 keV   1.792E+01  2.358E-02    1.35 um     1332 A      1786 A   
 200.00 keV   1.730E+01  2.168E-02    1.50 um     1393 A      1893 A   
 225.00 keV   1.656E+01  1.973E-02    1.71 um     1476 A      2028 A   
 250.00 keV   1.586E+01  1.813E-02    1.92 um     1560 A      2167 A   
 275.00 keV   1.523E+01  1.678E-02    2.14 um     1645 A      2310 A   
 300.00 keV   1.464E+01  1.564E-02    2.37 um     1731 A      2457 A   
 325.00 keV   1.410E+01  1.465E-02    2.61 um     1820 A      2608 A   
 350.00 keV   1.361E+01  1.379E-02    2.86 um     1911 A      2763 A   
 375.00 keV   1.315E+01  1.303E-02    3.12 um     2003 A      2923 A   
 400.00 keV   1.273E+01  1.236E-02    3.39 um     2098 A      3088 A   
 450.00 keV   1.197E+01  1.122E-02    3.95 um     2358 A      3430 A   
 500.00 keV   1.132E+01  1.028E-02    4.54 um     2621 A      3790 A   
 550.00 keV   1.075E+01  9.498E-03    5.17 um     2889 A      4166 A   
 600.00 keV   1.024E+01  8.833E-03    5.83 um     3160 A      4560 A   
 650.00 keV   9.792E+00  8.262E-03    6.53 um     3435 A      4969 A   
 700.00 keV   9.389E+00  7.764E-03    7.25 um     3715 A      5394 A   
 800.00 keV   8.696E+00  6.940E-03    8.79 um     4550 A      6290 A   
 900.00 keV   8.122E+00  6.284E-03   10.44 um     5366 A      7242 A   
   1.00 MeV   7.638E+00  5.747E-03   12.21 um     6175 A      8248 A   
   1.10 MeV   7.274E+00  5.301E-03   14.07 um     6980 A      9300 A   
   1.20 MeV   6.916E+00  4.922E-03   16.03 um     7784 A      1.04 um  
   1.30 MeV   6.587E+00  4.598E-03   18.09 um     8594 A      1.15 um  
   1.40 MeV   6.295E+00  4.316E-03   20.26 um     9415 A      1.27 um  
   1.50 MeV   6.030E+00  4.068E-03   22.51 um     1.02 um     1.40 um  
   1.60 MeV   5.789E+00  3.849E-03   24.87 um     1.11 um     1.52 um  
   1.70 MeV   5.568E+00  3.654E-03   27.32 um     1.19 um     1.65 um  
   1.80 MeV   5.364E+00  3.479E-03   29.87 um     1.28 um     1.79 um  
   2.00 MeV   5.002E+00  3.177E-03   35.25 um     1.55 um     2.07 um  
   2.25 MeV   4.620E+00  2.869E-03   42.49 um     1.94 um     2.45 um  
   2.50 MeV   4.297E+00  2.619E-03   50.31 um     2.31 um     2.86 um  
   2.75 MeV   4.022E+00  2.411E-03   58.69 um     2.68 um     3.29 um  
   3.00 MeV   3.784E+00  2.236E-03   67.63 um     3.05 um     3.74 um  
   3.25 MeV   3.576E+00  2.085E-03   77.10 um     3.43 um     4.22 um  
   3.50 MeV   3.392E+00  1.955E-03   87.11 um     3.81 um     4.72 um  
   3.75 MeV   3.228E+00  1.840E-03   97.64 um     4.19 um     5.25 um  
   4.00 MeV   3.082E+00  1.739E-03  108.69 um     4.58 um     5.80 um  
   4.50 MeV   2.829E+00  1.569E-03  132.31 um     5.87 um     6.96 um  
   5.00 MeV   2.619E+00  1.430E-03  157.92 um     7.10 um     8.22 um  
   5.50 MeV   2.442E+00  1.315E-03  185.51 um     8.32 um     9.56 um  
   6.00 MeV   2.289E+00  1.218E-03  215.01 um     9.54 um    10.98 um  
   6.50 MeV   2.156E+00  1.135E-03  246.41 um    10.77 um    12.48 um  
   7.00 MeV   2.040E+00  1.064E-03  279.68 um    12.02 um    14.07 um  
   8.00 MeV   1.844E+00  9.451E-04  351.64 um    16.22 um    17.48 um  
   9.00 MeV   1.686E+00  8.515E-04  430.79 um    20.21 um    21.20 um  
  10.00 MeV   1.556E+00  7.755E-04  516.98 um    24.14 um    25.23 um  
  11.00 MeV   1.446E+00  7.125E-04  610.05 um    28.08 um    29.54 um  
  12.00 MeV   1.352E+00  6.594E-04  709.90 um    32.06 um    34.15 um  
