 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 04, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.6678E+01 g/cm3 = 5.5504E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.865E-02  9.246E-06  194.24 um    13.15 um    22.73 um  
  11.00 MeV   1.751E-02  8.519E-06  226.55 um    15.05 um    26.17 um  
  12.00 MeV   1.651E-02  7.903E-06  260.90 um    17.00 um    29.80 um  
  13.00 MeV   1.564E-02  7.376E-06  297.25 um    19.01 um    33.60 um  
  14.00 MeV   1.487E-02  6.918E-06  335.58 um    21.07 um    37.59 um  
  15.00 MeV   1.419E-02  6.517E-06  375.83 um    23.19 um    41.74 um  
  16.00 MeV   1.357E-02  6.162E-06  418.00 um    25.37 um    46.07 um  
  17.00 MeV   1.301E-02  5.846E-06  462.04 um    27.60 um    50.56 um  
  18.00 MeV   1.250E-02  5.563E-06  507.94 um    29.89 um    55.22 um  
  20.00 MeV   1.161E-02  5.075E-06  605.15 um    35.90 um    65.02 um  
  22.50 MeV   1.069E-02  4.579E-06  736.65 um    44.23 um    78.15 um  
  25.00 MeV   9.920E-03  4.176E-06  879.01 um    52.59 um    92.23 um  
  27.50 MeV   9.269E-03  3.842E-06    1.03 mm    61.08 um   107.23 um  
  30.00 MeV   8.710E-03  3.559E-06    1.20 mm    69.77 um   123.12 um  
  32.50 MeV   8.225E-03  3.317E-06    1.37 mm    78.67 um   139.88 um  
  35.00 MeV   7.799E-03  3.108E-06    1.55 mm    87.81 um   157.48 um  
  37.50 MeV   7.422E-03  2.925E-06    1.74 mm    97.18 um   175.90 um  
  40.00 MeV   7.086E-03  2.763E-06    1.95 mm   106.79 um   195.14 um  
  45.00 MeV   6.510E-03  2.490E-06    2.38 mm   133.60 um   235.96 um  
  50.00 MeV   6.036E-03  2.268E-06    2.85 mm   160.24 um   279.80 um  
  55.00 MeV   5.638E-03  2.085E-06    3.35 mm   187.12 um   326.54 um  
  60.00 MeV   5.298E-03  1.930E-06    3.89 mm   214.46 um   376.07 um  
  65.00 MeV   5.004E-03  1.797E-06    4.46 mm   242.35 um   428.29 um  
  70.00 MeV   4.748E-03  1.683E-06    5.07 mm   270.86 um   483.10 um  
  80.00 MeV   4.322E-03  1.494E-06    6.37 mm   353.45 um   600.18 um  
  90.00 MeV   3.981E-03  1.345E-06    7.79 mm   434.18 um   726.67 um  
 100.00 MeV   3.701E-03  1.224E-06    9.32 mm   514.92 um   861.97 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.6677E+02                 eV / Angstrom 
  1.6677E+03                keV / micron   
  1.6677E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.0047E+02                 eV / (1E15 atoms/cm2)
  3.7735E+02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
